zip,donations,total,NAME,variable,estimate,moe,per_capita
20601,6976,190404.72999999975,ZCTA5 20601,population,27328,1457,6967.386197306782
20602,6758,109716.81999999996,ZCTA5 20602,population,28988,1690,3784.9047881882148
20603,12854,248108.6100000006,ZCTA5 20603,population,32495,1906,7635.285736267137
20604,247,8033.67,NA,NA,NA,NA,NA
20606,11,131.43,ZCTA5 20606,population,247,179,532.1052631578948
20607,6889,181393.81000000043,ZCTA5 20607,population,12080,1570,15016.043874172221
20608,337,2569.720000000003,ZCTA5 20608,population,603,189,4261.558872305146
20609,61,2290,ZCTA5 20609,population,1240,313,1846.774193548387
20610,68,1669.1999999999998,NA,NA,NA,NA,NA
20611,46,1206,ZCTA5 20611,population,1127,275,1070.0976042590949
20612,21,399.17,ZCTA5 20612,population,147,133,2715.4421768707484
20613,6436,170352.85000000012,ZCTA5 20613,population,14800,1062,11510.32770270271
20614,21,409,NA,NA,NA,NA,NA
20615,25,633,ZCTA5 20615,population,524,233,1208.0152671755727
20616,1703,38740.899999999994,ZCTA5 20616,population,6792,1180,5703.901648998821
20617,274,7542.26,ZCTA5 20617,population,630,283,11971.84126984127
20618,313,6069.32,ZCTA5 20618,population,1087,369,5583.551057957681
20619,2733,63659.01000000006,ZCTA5 20619,population,13925,1248,4571.5626570915665
20620,393,7357.65,ZCTA5 20620,population,1325,479,5552.943396226416
20621,66,967,ZCTA5 20621,population,775,368,1247.741935483871
20622,356,8922.109999999999,ZCTA5 20622,population,5471,1124,1630.8005849022113
20623,2075,33616.96000000001,ZCTA5 20623,population,2457,389,13682.116402116404
20624,60,795,ZCTA5 20624,population,990,331,803.030303030303
20625,454,9224.020000000004,ZCTA5 20625,population,1248,404,7391.04166666667
20626,240,3636.8600000000006,ZCTA5 20626,population,239,154,15216.987447698746
20627,8,40,NA,NA,NA,NA,NA
20628,43,12163.26,ZCTA5 20628,population,631,331,19276.164817749603
20629,37,813,ZCTA5 20629,population,1072,367,758.3955223880597
20630,371,24333.75,ZCTA5 20630,population,307,147,79263.02931596091
20632,21,2812.5,ZCTA5 20632,population,802,416,3506.8578553615957
20634,1095,27256.079999999944,ZCTA5 20634,population,7853,1330,3470.785686998592
20635,23,1176,NA,NA,NA,NA,NA
20636,2316,58391.37,ZCTA5 20636,population,11089,1415,5265.702047073677
20637,2083,40167.06999999999,ZCTA5 20637,population,6221,626,6456.6902427262485
20638,24,729.74,NA,NA,NA,NA,NA
20639,3313,119571.28999999998,ZCTA5 20639,population,15058,1086,7940.715234426882
20640,1569,24599.82999999998,ZCTA5 20640,population,10629,900,2314.4068115532955
20644,33,659,NA,NA,NA,NA,NA
20645,199,10778.3,ZCTA5 20645,population,763,271,14126.2123197903
20646,5566,130374.95000000004,ZCTA5 20646,population,21248,1174,6135.869258283134
20647,1,39.8,NA,NA,NA,NA,NA
20649,6,330,NA,NA,NA,NA,NA
20650,3964,144375.84000000023,ZCTA5 20650,population,15522,1211,9301.368380363368
20653,3608,81705.0799999999,ZCTA5 20653,population,27053,1548,3020.1855616752264
20656,38,1569.76,ZCTA5 20656,population,203,119,7732.8078817733995
20657,5067,125720.03000000009,ZCTA5 20657,population,21054,1291,5971.313289636178
20658,288,10475.370000000004,ZCTA5 20658,population,978,213,10711.012269938654
20659,2061,66697.38,ZCTA5 20659,population,23346,1541,2856.9082498072476
20660,5,190,ZCTA5 20660,population,0,13,Inf
20662,316,3207.0199999999995,ZCTA5 20662,population,2590,464,1238.23166023166
20663,6,135,NA,NA,NA,NA,NA
20664,225,19794.23,ZCTA5 20664,population,2780,483,7120.226618705035
20667,37,1525.39,ZCTA5 20667,population,159,180,9593.64779874214
20669,1,20,NA,NA,NA,NA,NA
20670,100,2542.67,ZCTA5 20670,population,1403,419,1812.3093371347115
20674,355,9889.67,ZCTA5 20674,population,807,389,12254.857496902107
20675,265,13192.1,ZCTA5 20675,population,2060,501,6403.9320388349515
20676,4042,51759.59,ZCTA5 20676,population,2897,580,17866.617190196754
20677,666,19220.51,ZCTA5 20677,population,2055,410,9353.046228710462
20678,2380,49224.85999999996,ZCTA5 20678,population,12874,846,3823.587074724247
20679,1,250,NA,NA,NA,NA,NA
20680,87,6197.360000000001,ZCTA5 20680,population,588,330,10539.727891156463
20682,3,153,NA,NA,NA,NA,NA
20683,6,280,NA,NA,NA,NA,NA
20684,90,3067.24,ZCTA5 20684,population,627,210,4891.929824561404
20685,2422,44961.41000000005,ZCTA5 20685,population,6750,915,6660.949629629637
20686,776,26377.35,ZCTA5 20686,population,963,129,27390.80996884735
20687,80,2937.49,ZCTA5 20687,population,360,210,8159.694444444444
20688,3855,84676.29000000008,ZCTA5 20688,population,1170,509,72372.8974358975
20689,201,18325.74,ZCTA5 20689,population,1884,607,9727.03821656051
20690,697,10894.629999999992,ZCTA5 20690,population,843,318,12923.641755634628
20691,4,84,NA,NA,NA,NA,NA
20692,161,5585.110000000001,ZCTA5 20692,population,721,310,7746.3384188626915
20693,226,5676.370000000001,ZCTA5 20693,population,1210,518,4691.214876033058
20694,3,28,NA,NA,NA,NA,NA
20695,4407,98344.96999999994,ZCTA5 20695,population,11455,1481,8585.331296377124
20696,2,189.92,NA,NA,NA,NA,NA
20697,12,89,NA,NA,NA,NA,NA
20698,11,205.5,NA,NA,NA,NA,NA
20701,127,5610.76,ZCTA5 20701,population,794,271,7066.448362720404
20702,2,42,NA,NA,NA,NA,NA
20703,225,2404.51,NA,NA,NA,NA,NA
20704,71,1503.76,NA,NA,NA,NA,NA
20705,8949,263127.96999999945,ZCTA5 20705,population,28660,1914,9181.01779483599
20706,12313,314519.8699999994,ZCTA5 20706,population,43797,2670,7181.310820375812
20707,16759,392772.42999999854,ZCTA5 20707,population,36352,1204,10804.699328785171
20708,7135,155413.97000000026,ZCTA5 20708,population,27909,1610,5568.596868393717
20709,69,826,NA,NA,NA,NA,NA
20710,645,28141.24,ZCTA5 20710,population,9781,194,2877.133217462427
20711,1572,67949.20999999996,ZCTA5 20711,population,7435,1156,9139.100201748483
20712,4346,127500.21000000004,ZCTA5 20712,population,9630,483,13239.897196261685
20713,38,307,NA,NA,NA,NA,NA
20714,2108,41288.52999999997,ZCTA5 20714,population,4767,973,8661.323683658478
20715,17641,314771.77000000153,ZCTA5 20715,population,26244,1068,11994.047020271359
20716,9976,277360.8199999999,ZCTA5 20716,population,22340,1189,12415.435094001787
20717,56,1502.75,NA,NA,NA,NA,NA
20718,237,5407.000000000001,NA,NA,NA,NA,NA
20719,14,385,NA,NA,NA,NA,NA
20720,17274,545108.1899999978,ZCTA5 20720,population,26253,1812,20763.653296766002
20721,27247,1016134.5099999992,ZCTA5 20721,population,30785,2089,33007.455254182205
20722,4938,57960.55000000015,ZCTA5 20722,population,6218,528,9321.41363782569
20723,12363,402577.18000000034,ZCTA5 20723,population,35845,1960,11231.055377319022
20724,6276,110552.95999999986,ZCTA5 20724,population,18345,1551,6026.326519487591
20725,122,5023.42,NA,NA,NA,NA,NA
20726,62,948,NA,NA,NA,NA,NA
20727,5,13,NA,NA,NA,NA,NA
20729,3,70.17,NA,NA,NA,NA,NA
20730,2,25,NA,NA,NA,NA,NA
20731,115,653,NA,NA,NA,NA,NA
20732,4164,104842.46,ZCTA5 20732,population,10676,625,9820.387785687524
20733,1910,50651.11,ZCTA5 20733,population,2669,658,18977.560884226303
20734,20,578,NA,NA,NA,NA,NA
20735,15308,316990.6299999999,ZCTA5 20735,population,39399,1539,8045.651666285943
20736,3030,72934.04000000002,ZCTA5 20736,population,9274,835,7864.356264826399
20737,3706,102120.56000000011,ZCTA5 20737,population,24438,1646,4178.760946067604
20738,65,964,NA,NA,NA,NA,NA
20739,4,160,NA,NA,NA,NA,NA
20740,12587,317914.8899999996,ZCTA5 20740,population,36583,785,8690.235628570637
20741,1486,40967.22999999998,NA,NA,NA,NA,NA
20742,56,12867.61,ZCTA5 20742,population,4263,645,3018.440065681445
20743,6852,165297.1299999999,ZCTA5 20743,population,38692,2248,4272.126796236945
20744,31497,615052.9699999988,ZCTA5 20744,population,55820,2945,11018.50537441775
20745,12754,230824.93999999977,ZCTA5 20745,population,29355,1871,7863.223982285804
20746,5612,110835.93000000008,ZCTA5 20746,population,28078,1728,3947.429660232213
20747,9223,156460.6300000003,ZCTA5 20747,population,39279,1803,3983.315002927781
20748,12089,230580.97000000085,ZCTA5 20748,population,40763,2849,5656.624144444738
20749,123,2894.23,NA,NA,NA,NA,NA
20750,732,10758.440000000002,NA,NA,NA,NA,NA
20751,943,30918.42999999999,ZCTA5 20751,population,2081,396,14857.486785199419
20752,39,1026,NA,NA,NA,NA,NA
20753,147,2130,NA,NA,NA,NA,NA
20754,1806,52836.890000000014,ZCTA5 20754,population,7344,1018,7194.565631808281
20755,718,13748.61,ZCTA5 20755,population,10011,991,1373.3503146538808
20757,115,2539.17,NA,NA,NA,NA,NA
20758,169,6653.169999999999,ZCTA5 20758,population,542,165,12275.22140221402
20759,4003,216717.4500000003,ZCTA5 20759,population,6125,667,35382.440816326576
20762,160,2821.08,ZCTA5 20762,population,3099,395,910.3194578896417
20763,1067,16640.289999999997,ZCTA5 20763,population,2219,748,7499.004055881026
20764,1593,58113.28999999995,ZCTA5 20764,population,3280,607,17717.46646341462
20765,376,18800.06,ZCTA5 20765,population,604,255,31125.927152317883
20768,190,4025.74,NA,NA,NA,NA,NA
20769,7457,183612.53000000017,ZCTA5 20769,population,6812,1073,26954.27627715798
20770,17073,470197.8199999965,ZCTA5 20770,population,28458,673,16522.518096844353
20771,16,223,ZCTA5 20771,population,0,13,Inf
20772,24555,701566.209999997,ZCTA5 20772,population,52596,2397,13338.77500190123
20773,348,13695.669999999998,NA,NA,NA,NA,NA
20774,28133,790564.2600000018,ZCTA5 20774,population,51010,2662,15498.221133111188
20775,333,8819.52,NA,NA,NA,NA,NA
20776,1344,43335.319999999985,ZCTA5 20776,population,2966,739,14610.694538098445
20777,2707,111532.35999999994,ZCTA5 20777,population,3220,494,34637.378881987555
20778,1436,39547.169999999984,ZCTA5 20778,population,2564,673,15424.013260530415
20779,687,29339.599999999988,ZCTA5 20779,population,992,354,29576.20967741934
20781,5853,231033.8899999996,ZCTA5 20781,population,13299,1385,17372.275359049523
20782,12863,595571.0799999984,ZCTA5 20782,population,34625,1977,17200.608808664212
20783,5720,339753.4999999998,ZCTA5 20783,population,50387,2635,6742.880107964353
20784,5749,90245.51000000014,ZCTA5 20784,population,32191,1811,2803.439160013673
20785,11413,374647.23999999976,ZCTA5 20785,population,41281,1821,9075.53692982243
20786,52,2143.299999999999,NA,NA,NA,NA,NA
20787,24,339,NA,NA,NA,NA,NA
20788,2,20,NA,NA,NA,NA,NA
20790,2,1760,NA,NA,NA,NA,NA
20791,70,2046.19,NA,NA,NA,NA,NA
20792,210,9272.24,NA,NA,NA,NA,NA
20794,2890,65081.25000000002,ZCTA5 20794,population,16035,1029,4058.6997193638927
20795,77,1970,NA,NA,NA,NA,NA
20796,3,102,NA,NA,NA,NA,NA
20797,2,28,NA,NA,NA,NA,NA
20798,7,89,NA,NA,NA,NA,NA
20801,6,1104,NA,NA,NA,NA,NA
20802,47,1088.26,NA,NA,NA,NA,NA
20803,14,140,NA,NA,NA,NA,NA
20804,15,607,NA,NA,NA,NA,NA
20805,125,6799.7,NA,NA,NA,NA,NA
20806,24,436,NA,NA,NA,NA,NA
20807,7,121,NA,NA,NA,NA,NA
20810,19,2173,NA,NA,NA,NA,NA
20812,416,82029.63,ZCTA5 20812,population,282,93,290885.21276595746
20813,8,280,NA,NA,NA,NA,NA
20814,54366,3840965.980000051,ZCTA5 20814,population,30234,1563,127041.27736985021
20815,77637,9090681.019999975,ZCTA5 20815,population,31080,1537,292492.9543114535
20816,35071,3206491.790000002,ZCTA5 20816,population,17390,1099,184387.10695802196
20817,65357,5935171.610000005,ZCTA5 20817,population,37795,1489,157035.89390130984
20818,3976,339569.6300000002,ZCTA5 20818,population,1787,368,190022.17683268056
20820,1,20,NA,NA,NA,NA,NA
20822,1,5,NA,NA,NA,NA,NA
20823,2,50,NA,NA,NA,NA,NA
20824,474,28802.58,NA,NA,NA,NA,NA
20825,553,11115.52,NA,NA,NA,NA,NA
20826,27,1062,NA,NA,NA,NA,NA
20827,182,12166.57,NA,NA,NA,NA,NA
20828,2,12,NA,NA,NA,NA,NA
20830,139,1310,NA,NA,NA,NA,NA
20832,15646,505974.4099999999,ZCTA5 20832,population,25488,1217,19851.475596359065
20833,4572,170021.89000000042,ZCTA5 20833,population,7949,1026,21389.091709649067
20834,29,915,NA,NA,NA,NA,NA
20835,41,413,NA,NA,NA,NA,NA
20836,32,871.25,NA,NA,NA,NA,NA
20837,4684,155442.2500000004,ZCTA5 20837,population,6651,315,23371.259960908195
20838,448,18843.38,ZCTA5 20838,population,368,162,51204.836956521736
20839,462,11704.82,ZCTA5 20839,population,161,103,72700.74534161491
20840,21,105,NA,NA,NA,NA,NA
20841,4010,161266.3100000001,ZCTA5 20841,population,9312,1013,17318.11748281788
20842,978,55610.649999999994,ZCTA5 20842,population,1927,340,28858.666320705757
20844,47,1252.5,NA,NA,NA,NA,NA
20845,2,100,NA,NA,NA,NA,NA
20847,11,529,NA,NA,NA,NA,NA
20848,42,757.49,NA,NA,NA,NA,NA
20849,375,4026.31,NA,NA,NA,NA,NA
20850,45289,1625183.4800000193,ZCTA5 20850,population,51072,1675,31821.418389724688
20851,5030,158464.17000000016,ZCTA5 20851,population,14659,1086,10810.025922641393
20852,48307,1984718.029999996,ZCTA5 20852,population,48379,2333,41024.370698030056
20853,19911,556389.1599999968,ZCTA5 20853,population,31794,2511,17499.81631754409
20854,55150,4750407.0800000075,ZCTA5 20854,population,49320,2280,96318.06731549083
20855,10620,442482.6699999997,ZCTA5 20855,population,16558,1460,26723.19543423117
20856,15,782,NA,NA,NA,NA,NA
20858,7,92,NA,NA,NA,NA,NA
20859,329,43985.94,NA,NA,NA,NA,NA
20860,4148,138927.70000000022,ZCTA5 20860,population,2279,525,60959.93856954814
20861,2729,124085.48999999998,ZCTA5 20861,population,3031,869,40938.79577697129
20862,260,16786.32,ZCTA5 20862,population,268,132,62635.5223880597
20864,52,1064,NA,NA,NA,NA,NA
20865,38,1886,NA,NA,NA,NA,NA
20866,6180,175550.99000000046,ZCTA5 20866,population,16680,1762,10524.639688249428
20867,14,1045,NA,NA,NA,NA,NA
20868,451,11939.11,ZCTA5 20868,population,630,327,18950.968253968254
20869,7,305,NA,NA,NA,NA,NA
20870,9,450,NA,NA,NA,NA,NA
20871,8598,204083.8700000006,ZCTA5 20871,population,27420,1984,7442.883661560926
20872,7302,125311.22000000012,ZCTA5 20872,population,12932,953,9690.010825858344
20873,6,225,NA,NA,NA,NA,NA
20874,22381,527915.7199999968,ZCTA5 20874,population,61922,2470,8525.495300539336
20875,256,7279.070000000001,NA,NA,NA,NA,NA
20876,9660,214333.43000000037,ZCTA5 20876,population,26572,2086,8066.138416378156
20877,15286,371444.01,ZCTA5 20877,population,38524,1975,9641.885837400063
20878,41096,1313016.679999994,ZCTA5 20878,population,65954,1713,19908.067440943596
20879,10054,219295.58000000264,ZCTA5 20879,population,27489,1961,7977.5757575758535
20880,1356,52557.24000000001,ZCTA5 20880,population,604,164,87015.29801324506
20882,8651,261341.96000000025,ZCTA5 20882,population,13962,1090,18718.08909898297
20883,100,50776.7,NA,NA,NA,NA,NA
20884,42,388,NA,NA,NA,NA,NA
20885,98,2054.08,NA,NA,NA,NA,NA
20886,16207,362243.20999999874,ZCTA5 20886,population,34692,2228,10441.692897497946
20887,32,455,NA,NA,NA,NA,NA
20889,2,28,ZCTA5 20889,population,158,23,177.21518987341773
20892,5,500,ZCTA5 20892,population,0,13,Inf
20893,39,539,NA,NA,NA,NA,NA
20894,13,230,ZCTA5 20894,population,0,13,Inf
20895,26497,1347975.3600000064,ZCTA5 20895,population,19273,1272,69941.12800290596
20896,1962,161566.2600000002,ZCTA5 20896,population,840,120,192340.78571428597
20897,9,58,NA,NA,NA,NA,NA
20898,42,481.23,NA,NA,NA,NA,NA
20899,30,3050,ZCTA5 20899,population,143,80,21328.67132867133
20901,42989,1309525.8700000062,ZCTA5 20901,population,37207,2224,35195.68548928981
20902,29875,1073108.0000000023,ZCTA5 20902,population,53308,2181,20130.336910032307
20903,6587,250580.09999999992,ZCTA5 20903,population,25324,2283,9894.96525035539
20904,41324,1477418.6700000064,ZCTA5 20904,population,56532,2478,26134.201337295806
20905,12733,509001.05000000366,ZCTA5 20905,population,17451,1768,29167.443126468606
20906,54095,1138991.140000007,ZCTA5 20906,population,71560,2542,15916.589435438893
20907,244,4264.09,NA,NA,NA,NA,NA
20908,26,583,NA,NA,NA,NA,NA
20910,60712,2979373.470000009,ZCTA5 20910,population,45072,1708,66102.5352768905
20911,104,1824.23,NA,NA,NA,NA,NA
20912,38778,1936275.090000004,ZCTA5 20912,population,25823,1428,74982.57715989638
20913,335,55972.77,NA,NA,NA,NA,NA
20914,309,7685.58,NA,NA,NA,NA,NA
