zip,donations,total,NAME,variable,estimate,moe,per_capita
20601,1425,35154.4,ZCTA5 20601,population,27328,1457,1286.3875878220142
20602,897,22974.03999999998,ZCTA5 20602,population,28988,1690,792.5362218849172
20603,1449,54640.36000000012,ZCTA5 20603,population,32495,1906,1681.500538544395
20604,58,1159.21,NA,NA,NA,NA,NA
20606,21,293.59999999999997,ZCTA5 20606,population,247,179,1188.663967611336
20607,578,12869.199999999992,ZCTA5 20607,population,12080,1570,1065.331125827814
20608,26,960.7,ZCTA5 20608,population,603,189,1593.2006633499172
20609,48,2305.4399999999996,ZCTA5 20609,population,1240,313,1859.2258064516125
20610,40,2338.0399999999995,NA,NA,NA,NA,NA
20611,35,826.2,ZCTA5 20611,population,1127,275,733.0967169476487
20612,146,717.07,ZCTA5 20612,population,147,133,4878.027210884354
20613,1242,21712.14999999992,ZCTA5 20613,population,14800,1062,1467.037162162157
20615,156,2400.2400000000016,ZCTA5 20615,population,524,233,4580.610687022903
20616,292,6938.1399999999985,ZCTA5 20616,population,6792,1180,1021.5164899882212
20617,122,2581.13,ZCTA5 20617,population,630,283,4097.031746031746
20618,111,3086.189999999999,ZCTA5 20618,population,1087,369,2839.1812327506896
20619,1321,50741.130000000056,ZCTA5 20619,population,13925,1248,3643.8872531418356
20620,163,5863.94,ZCTA5 20620,population,1325,479,4425.615094339622
20621,39,1845.489999999999,ZCTA5 20621,population,775,368,2381.2774193548375
20622,383,17405.309999999994,ZCTA5 20622,population,5471,1124,3181.3763480168145
20623,103,2147.4399999999996,ZCTA5 20623,population,2457,389,874.0089540089539
20624,18,727.2300000000001,ZCTA5 20624,population,990,331,734.5757575757576
20625,26,1835.3699999999997,ZCTA5 20625,population,1248,404,1470.6490384615383
20626,16,1488.6,ZCTA5 20626,population,239,154,6228.451882845187
20627,3,520.24,NA,NA,NA,NA,NA
20628,88,2661.529999999999,ZCTA5 20628,population,631,331,4217.955625990489
20630,57,8129.480000000001,ZCTA5 20630,population,307,147,26480.390879478833
20632,74,1660.4599999999996,ZCTA5 20632,population,802,416,2070.399002493765
20634,2590,41293.05999999995,ZCTA5 20634,population,7853,1330,5258.252896982039
20636,1831,39801.99999999989,ZCTA5 20636,population,11089,1415,3589.322752277021
20637,1342,50569.88999999994,ZCTA5 20637,population,6221,626,8128.9004983121595
20639,4060,78700.29000000027,ZCTA5 20639,population,15058,1086,5226.476955771036
20640,1132,23500.449999999957,ZCTA5 20640,population,10629,900,2210.9746918806995
20645,104,2337.07,ZCTA5 20645,population,763,271,3063.0013106159895
20646,5750,92164.8600000004,ZCTA5 20646,population,21248,1174,4337.578125000019
20650,6687,111278.18000000074,ZCTA5 20650,population,15522,1211,7169.061976549461
20653,2289,45948.46000000004,ZCTA5 20653,population,27053,1548,1698.4607991719972
20656,4,4,ZCTA5 20656,population,203,119,19.704433497536947
20657,1350,80439.92000000038,ZCTA5 20657,population,21054,1291,3820.6478578892547
20658,11,1121.18,ZCTA5 20658,population,978,213,1146.40081799591
20659,3755,91069.19000000054,ZCTA5 20659,population,23346,1541,3900.847682686565
20660,2,2000,ZCTA5 20660,population,0,13,Inf
20662,133,9742.390000000005,ZCTA5 20662,population,2590,464,3761.540540540542
20664,281,8245.47,ZCTA5 20664,population,2780,483,2965.9964028776976
20667,30,1417.13,ZCTA5 20667,population,159,180,8912.767295597485
20670,19,705.89,ZCTA5 20670,population,1403,419,503.1290092658589
20674,209,9114.100000000006,ZCTA5 20674,population,807,389,11293.804213135076
20675,131,4188.69,ZCTA5 20675,population,2060,501,2033.3446601941746
20676,691,23146.85999999999,ZCTA5 20676,population,2897,580,7989.941318605451
20677,10510,52261.30000000037,ZCTA5 20677,population,2055,410,25431.289537713074
20678,2547,50940.49999999995,ZCTA5 20678,population,12874,846,3956.8510175547576
20680,44,1978.8,ZCTA5 20680,population,588,330,3365.3061224489793
20684,75,3987.879999999999,ZCTA5 20684,population,627,210,6360.255183413077
20685,1045,30678.48999999994,ZCTA5 20685,population,6750,915,4544.961481481472
20686,5,389.33,ZCTA5 20686,population,963,129,404.288681204569
20687,7,244.3,ZCTA5 20687,population,360,210,678.6111111111112
20688,2245,37209.47999999994,ZCTA5 20688,population,1170,509,31802.97435897431
20689,49,2773.0099999999993,ZCTA5 20689,population,1884,607,1471.8736730360931
20690,735,14588.270000000004,ZCTA5 20690,population,843,318,17305.183867141168
20692,20,1091.63,ZCTA5 20692,population,721,310,1514.0499306518727
20693,52,1714.5400000000006,ZCTA5 20693,population,1210,518,1416.975206611571
20695,426,14520.069999999992,ZCTA5 20695,population,11455,1481,1267.5748581405492
20701,15,1439.86,ZCTA5 20701,population,794,271,1813.425692695214
20703,36,1705.4399999999998,NA,NA,NA,NA,NA
20705,805,22559.73999999999,ZCTA5 20705,population,28660,1914,787.1507327285412
20706,1107,29126.840000000055,ZCTA5 20706,population,43797,2670,665.0418978468857
20707,1548,34556.44999999992,ZCTA5 20707,population,36352,1204,950.6065691021104
20708,789,54085.47,ZCTA5 20708,population,27909,1610,1937.922175642266
20709,7,876.03,NA,NA,NA,NA,NA
20710,72,2001.2699999999995,ZCTA5 20710,population,9781,194,204.60791330129837
20711,727,37307.29999999996,ZCTA5 20711,population,7435,1156,5017.794216543371
20712,173,4516.9000000000005,ZCTA5 20712,population,9630,483,469.0446521287643
20714,382,12063.769999999988,ZCTA5 20714,population,4767,973,2530.683868260958
20715,4184,142469.33000000103,ZCTA5 20715,population,26244,1068,5428.64388050606
20716,1680,27480.630000000012,ZCTA5 20716,population,22340,1189,1230.108773500448
20717,1,26.03,NA,NA,NA,NA,NA
20718,1,24.98,NA,NA,NA,NA,NA
20720,1111,34529.47999999995,ZCTA5 20720,population,26253,1812,1315.2584466537141
20721,535,14887.369999999986,ZCTA5 20721,population,30785,2089,483.5916842618154
20722,233,3351.6400000000003,ZCTA5 20722,population,6218,528,539.0221936313928
20723,1100,43215.24999999997,ZCTA5 20723,population,35845,1960,1205.6144511089403
20724,696,11786.809999999992,ZCTA5 20724,population,18345,1551,642.5080403379662
20725,12333,55055.410000000214,NA,NA,NA,NA,NA
20726,8,423.17,NA,NA,NA,NA,NA
